,0
AGG87189.1,-15.57084857927697
AGG87190.1,-16.03951889888596
AGG87191.1,-19.758931436096688
AGG87192.1,-9.678259812100386
AGG87193.1,-24.47623717309412
AGG87194.1,-30.00338164417461
AGG87195.1,-23.765820453637332
AGG87196.1,-36.3338723770928
AGG87197.1,-31.991794410262298
AGG87198.1,-19.488830104114992
AGG87199.1,-21.423150490208656
AGG87200.1,-12.080883530756228
AGG87201.1,-20.148401988361332
AGG87202.1,-12.706824495469881
AGG87203.1,-17.360388769782364
AGG87204.1,-14.370710709892496
AGG87205.1,-39.73131487473803
AGG87206.1,-13.296128859024323
AGG87207.1,-33.53067397057803
AGG87208.1,-16.499976254767574
AGG87209.1,-24.57509874072945
AGG87210.1,-19.87911446626575
AGG87211.1,-30.036333607567975
AGG87212.1,-10.811320951738008
AGG87213.1,-17.371638922098164
AGG87214.1,-14.952388042429979
AGG87215.1,-21.248696792036082
AGG87216.1,-40.35460464450578
AGG87217.1,-23.428756181875173
AGG87218.1,-20.518451126510264
AGG87219.1,-12.967992124457231
AGG87220.1,-28.39909489132124
AGG87221.1,-18.901571701735904
AGG87222.1,-19.95336785083643
AGG87223.1,-18.575681192244925
AGG87224.1,-23.764149730099803
AGG87225.1,-19.665337212095526
AGG87226.1,-17.057190041049527
AGG87227.1,-13.142027486536122
AGG87228.1,-23.178938606158
AGG87229.1,-36.93423504618001
AGG87230.1,-20.49122826462587
AGG87231.1,-32.146395488080785
AGG87232.1,-41.92956976957734
AGG87233.1,-20.191698827175408
AGG87234.1,-12.587910702092362
AGG87235.1,-14.182407810197107
AGG87236.1,-46.096989855472316
AGG87237.1,-20.254595484559882
AGG87238.1,-45.18150706899553
AGG87239.1,-29.165089102688945
AGG87240.1,-25.405091214568913
AGG87241.1,-28.73023956956748
AGG87242.1,-14.53690070512467
AGG87243.1,-40.190730244536994
AGG87244.1,-34.973339049563194
AGG87245.1,-19.412482477631343
AGG87246.1,-20.08473528871497
AGG87247.1,-25.778142018468287
AGG87248.1,-42.266392983594336
AGG87249.1,-36.115482301993595
AGG87250.1,-30.448474331845855
AGG87251.1,-31.793532979445942
AGG87252.1,-22.087030109854275
AGG87253.1,-19.807681815455204
AGG87254.1,-23.530480095518524
AGG87255.1,-19.70093853320183
